,Image Name,ratio
90,15.pdf_Page 1.jpg_in_logo_LCL_screenshot.JPG,0.0
91,15.pdf_Page 1.jpg_in_logo_orange.png,0.01
92,15.pdf_Page 1.jpg_in_logo_orange_screenshot.JPG,0.0
93,15.pdf_Page 1.jpg_in_logo_sfr.png,0.0
94,15.pdf_Page 1.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
95,15.pdf_Page 1.jpg_in_logo_societe_generale.png,0.0
96,15.pdf_Page 2.jpg_in_logo_bouygues_screenshot.JPG,0.0
97,15.pdf_Page 2.jpg_in_logo_bouygues_telecom.png,0.0
98,15.pdf_Page 2.jpg_in_logo_EDF.png,0.0
99,15.pdf_Page 2.jpg_in_logo_EDF_screenshot.PNG,0.64
100,15.pdf_Page 2.jpg_in_logo_enercorp.png,0.0
101,15.pdf_Page 2.jpg_in_logo_engie.png,0.0
102,15.pdf_Page 2.jpg_in_logo_engie_screenshot.JPG,0.0
103,15.pdf_Page 2.jpg_in_logo_free.png,0.03
104,15.pdf_Page 2.jpg_in_logo_free_screenshot.JPG,0.0
105,15.pdf_Page 2.jpg_in_logo_lcl.png,0.0
106,15.pdf_Page 2.jpg_in_logo_LCL_screenshot.JPG,0.0
107,15.pdf_Page 2.jpg_in_logo_orange.png,0.01
108,15.pdf_Page 2.jpg_in_logo_orange_screenshot.JPG,0.0
109,15.pdf_Page 2.jpg_in_logo_sfr.png,0.0
110,15.pdf_Page 2.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
111,15.pdf_Page 2.jpg_in_logo_societe_generale.png,0.0
112,17.pdf_Page 1.jpg_in_logo_bouygues_screenshot.JPG,0.02
113,17.pdf_Page 1.jpg_in_logo_bouygues_telecom.png,0.0
114,17.pdf_Page 1.jpg_in_logo_EDF.png,0.0
115,17.pdf_Page 1.jpg_in_logo_EDF_screenshot.PNG,0.01
116,17.pdf_Page 1.jpg_in_logo_enercorp.png,0.0
117,17.pdf_Page 1.jpg_in_logo_engie.png,0.0
118,17.pdf_Page 1.jpg_in_logo_engie_screenshot.JPG,0.0
119,17.pdf_Page 1.jpg_in_logo_free.png,0.0
120,17.pdf_Page 1.jpg_in_logo_free_screenshot.JPG,0.0
121,17.pdf_Page 1.jpg_in_logo_lcl.png,0.0
122,17.pdf_Page 1.jpg_in_logo_LCL_screenshot.JPG,0.04
123,17.pdf_Page 1.jpg_in_logo_orange.png,0.0
124,17.pdf_Page 1.jpg_in_logo_orange_screenshot.JPG,0.0
125,17.pdf_Page 1.jpg_in_logo_sfr.png,0.0
126,17.pdf_Page 1.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
127,17.pdf_Page 1.jpg_in_logo_societe_generale.png,0.0
128,17.pdf_Page 2.jpg_in_logo_bouygues_screenshot.JPG,0.02
129,17.pdf_Page 2.jpg_in_logo_bouygues_telecom.png,0.0
130,17.pdf_Page 2.jpg_in_logo_EDF.png,0.0
131,17.pdf_Page 2.jpg_in_logo_EDF_screenshot.PNG,0.01
132,17.pdf_Page 2.jpg_in_logo_enercorp.png,0.0
133,17.pdf_Page 2.jpg_in_logo_engie.png,0.0
134,17.pdf_Page 2.jpg_in_logo_engie_screenshot.JPG,0.0
135,17.pdf_Page 2.jpg_in_logo_free.png,0.0
136,17.pdf_Page 2.jpg_in_logo_free_screenshot.JPG,0.0
137,17.pdf_Page 2.jpg_in_logo_lcl.png,0.0
138,17.pdf_Page 2.jpg_in_logo_LCL_screenshot.JPG,0.04
139,17.pdf_Page 2.jpg_in_logo_orange.png,0.0
140,17.pdf_Page 2.jpg_in_logo_orange_screenshot.JPG,0.0
141,17.pdf_Page 2.jpg_in_logo_sfr.png,0.0
142,17.pdf_Page 2.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
143,17.pdf_Page 2.jpg_in_logo_societe_generale.png,0.0
144,18.pdf_Page 1.jpg_in_logo_bouygues_screenshot.JPG,0.02
145,18.pdf_Page 1.jpg_in_logo_bouygues_telecom.png,0.0
146,18.pdf_Page 1.jpg_in_logo_EDF.png,0.0
147,18.pdf_Page 1.jpg_in_logo_EDF_screenshot.PNG,0.0
148,18.pdf_Page 1.jpg_in_logo_enercorp.png,0.0
149,18.pdf_Page 1.jpg_in_logo_engie.png,0.0
150,18.pdf_Page 1.jpg_in_logo_engie_screenshot.JPG,0.0
151,18.pdf_Page 1.jpg_in_logo_free.png,0.0
152,18.pdf_Page 1.jpg_in_logo_free_screenshot.JPG,0.0
153,18.pdf_Page 1.jpg_in_logo_lcl.png,0.0
154,18.pdf_Page 1.jpg_in_logo_LCL_screenshot.JPG,0.0
155,18.pdf_Page 1.jpg_in_logo_orange.png,0.0
156,18.pdf_Page 1.jpg_in_logo_orange_screenshot.JPG,0.0
157,18.pdf_Page 1.jpg_in_logo_sfr.png,0.0
158,18.pdf_Page 1.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
159,18.pdf_Page 1.jpg_in_logo_societe_generale.png,0.0
160,18.pdf_Page 2.jpg_in_logo_bouygues_screenshot.JPG,0.02
161,18.pdf_Page 2.jpg_in_logo_bouygues_telecom.png,0.0
162,18.pdf_Page 2.jpg_in_logo_EDF.png,0.0
163,18.pdf_Page 2.jpg_in_logo_EDF_screenshot.PNG,0.0
164,18.pdf_Page 2.jpg_in_logo_enercorp.png,0.0
165,18.pdf_Page 2.jpg_in_logo_engie.png,0.0
166,18.pdf_Page 2.jpg_in_logo_engie_screenshot.JPG,0.0
167,18.pdf_Page 2.jpg_in_logo_free.png,0.0
168,18.pdf_Page 2.jpg_in_logo_free_screenshot.JPG,0.0
169,18.pdf_Page 2.jpg_in_logo_lcl.png,0.0
170,18.pdf_Page 2.jpg_in_logo_LCL_screenshot.JPG,0.0
171,18.pdf_Page 2.jpg_in_logo_orange.png,0.0
172,18.pdf_Page 2.jpg_in_logo_orange_screenshot.JPG,0.0
173,18.pdf_Page 2.jpg_in_logo_sfr.png,0.0
174,18.pdf_Page 2.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
175,18.pdf_Page 2.jpg_in_logo_societe_generale.png,0.0
176,18.pdf_Page 3.jpg_in_logo_bouygues_screenshot.JPG,0.02
177,18.pdf_Page 3.jpg_in_logo_bouygues_telecom.png,0.0
178,18.pdf_Page 3.jpg_in_logo_EDF.png,0.0
179,18.pdf_Page 3.jpg_in_logo_EDF_screenshot.PNG,0.0
180,18.pdf_Page 3.jpg_in_logo_enercorp.png,0.0
181,18.pdf_Page 3.jpg_in_logo_engie.png,0.0
182,18.pdf_Page 3.jpg_in_logo_engie_screenshot.JPG,0.0
183,18.pdf_Page 3.jpg_in_logo_free.png,0.0
184,18.pdf_Page 3.jpg_in_logo_free_screenshot.JPG,0.0
185,18.pdf_Page 3.jpg_in_logo_lcl.png,0.0
186,18.pdf_Page 3.jpg_in_logo_LCL_screenshot.JPG,0.0
187,18.pdf_Page 3.jpg_in_logo_orange.png,0.0
188,18.pdf_Page 3.jpg_in_logo_orange_screenshot.JPG,0.0
189,18.pdf_Page 3.jpg_in_logo_sfr.png,0.0
190,18.pdf_Page 3.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
191,18.pdf_Page 3.jpg_in_logo_societe_generale.png,0.0
192,18.pdf_Page 4.jpg_in_logo_bouygues_screenshot.JPG,0.02
193,18.pdf_Page 4.jpg_in_logo_bouygues_telecom.png,0.0
194,18.pdf_Page 4.jpg_in_logo_EDF.png,0.0
195,18.pdf_Page 4.jpg_in_logo_EDF_screenshot.PNG,0.0
196,18.pdf_Page 4.jpg_in_logo_enercorp.png,0.0
197,18.pdf_Page 4.jpg_in_logo_engie.png,0.0
198,18.pdf_Page 4.jpg_in_logo_engie_screenshot.JPG,0.0
199,18.pdf_Page 4.jpg_in_logo_free.png,0.0
200,18.pdf_Page 4.jpg_in_logo_free_screenshot.JPG,0.0
201,18.pdf_Page 4.jpg_in_logo_lcl.png,0.0
202,18.pdf_Page 4.jpg_in_logo_LCL_screenshot.JPG,0.0
203,18.pdf_Page 4.jpg_in_logo_orange.png,0.0
204,18.pdf_Page 4.jpg_in_logo_orange_screenshot.JPG,0.0
205,18.pdf_Page 4.jpg_in_logo_sfr.png,0.0
206,18.pdf_Page 4.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
207,18.pdf_Page 4.jpg_in_logo_societe_generale.png,0.0
208,2.pdf_Page 1.jpg_in_logo_bouygues_screenshot.JPG,0.02
